NZ_CP055055.1_Shigella_dysenteriae	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	5075418	154	5612	0.110572	0.00119852	40.7	26.7
MS11670	1	5075418	912	38487	0.758302	0.00798949	40.7	30.3
MS11673	1	5075418	213	8477	0.167021	0.00170016	40.7	30.4
MS11674	1	5075418	13505	318758	6.28043	0.111112	40.7	30.3
MS11675	1	5075418	10681	343744	6.77272	0.0971652	40.4	29.8
MS11676	1	5075418	8603	236774	4.66511	0.0715007	40.8	29.9
MS11677	1	5075418	315	12461	0.245517	0.00251802	40.7	28.6
MS11678	1	5075418	1085	43221	0.851575	0.00928909	40.6	30.1
MS11679	1	5075418	4333	168928	3.32836	0.0415369	40.2	29.6
MS11683	1	5075418	2311	86886	1.7119	0.0204141	40.5	29.9
MS11684	1	5075418	30241	727618	14.3361	0.273915	40.4	29.9
MS11686	1	5075418	2043	81813	1.61195	0.0182127	40.3	30
MS11770	1	5075418	4378	155228	3.05843	0.0375165	40.6	30.3
MS11771	1	5075418	65537	990187	19.5095	0.647869	39.9	29.9
MS11774	1	5075418	9636	290979	5.7331	0.0864084	40.4	32.1
MS11775	1	5075418	1821	71778	1.41423	0.0157932	40.4	29.7
