NZ_CP064354.1_Pseudomonas_fragi	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	5072729	2743	98392	1.93963	0.0213122	40.8	29.4
MS11670	1	5072729	1308	50316	0.991892	0.0105151	40.7	28.6
MS11673	1	5072729	659	20105	0.396335	0.0047984	40.9	27.6
MS11674	1	5072729	743	28557	0.562951	0.00570521	40.7	31
MS11675	1	5072729	181079	3706749	73.0721	1.63848	40.3	33.7
MS11676	1	5072729	5336	212706	4.19313	0.0436655	40.7	32.6
MS11677	1	5072729	1466	53998	1.06448	0.0112249	40.8	28.3
MS11678	1	5072729	3439	139838	2.75666	0.0289061	40.6	30.8
MS11679	1	5072729	857	26337	0.519188	0.00632717	40.8	25.9
MS11683	1	5072729	841	23389	0.461073	0.00604842	40.9	25.8
MS11684	1	5072729	719	23442	0.462118	0.00547102	40.8	27.9
MS11686	1	5072729	356	11869	0.233977	0.00261161	40.8	27
MS11770	1	5072729	2116	82218	1.62078	0.0169674	40.7	31.1
MS11771	1	5072729	19735	760187	14.9858	0.17417	40.4	31
MS11774	1	5072729	1184	39513	0.77893	0.00919761	40.7	26.7
MS11775	1	5072729	4583	176591	3.48118	0.0378217	40.6	30.6
