NZ_CP065637.1_Lactococcus_garvieae	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2049769	48	1864	0.0909371	0.000942057	40.4	29.1
MS11670	1	2049769	28	1020	0.0497617	0.000514692	40.8	28.2
MS11673	1	2049769	36	1549	0.0755695	0.000755695	40.4	31
MS11674	1	2049769	3947	74258	3.62275	0.0813862	40.7	27.3
MS11675	1	2049769	43707	1109872	54.1462	1.04259	40.2	33.6
MS11676	1	2049769	91	3597	0.175483	0.0018446	40.4	29.9
MS11677	1	2049769	65	2570	0.12538	0.00131429	40.7	30
MS11678	1	2049769	62	2514	0.122648	0.00124014	40.4	30.2
MS11679	1	2049769	21	713	0.0347844	0.000361016	40.9	25.8
MS11683	1	2049769	35	1067	0.0520546	0.000573723	40.9	26.4
MS11684	1	2049769	2642	116402	5.67879	0.0591428	40.4	33.4
MS11686	1	2049769	38	1244	0.0606898	0.000653244	40.6	26.1
MS11770	1	2049769	17	568	0.0277104	0.000309303	41	27.1
MS11771	1	2049769	1925	54627	2.66503	0.0424467	40.5	28.2
MS11774	1	2049769	39	1146	0.0559087	0.000692273	40.7	26.2
MS11775	1	2049769	105	2920	0.142455	0.0017602	40.9	25.6
