NZ_CP066013.1_Staphylococcus_equorum	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2739245	5230	220321	8.04313	0.0847504	40.5	36.5
MS11670	1	2739245	959	46066	1.6817	0.0172124	40.1	36.3
MS11673	1	2739245	500	23251	0.848811	0.00857682	40.1	36
MS11674	1	2739245	16211	622553	22.7272	0.262569	40.5	36.8
MS11675	1	2739245	1112	30552	1.11534	0.016571	40.5	29
MS11676	1	2739245	20808	785505	28.676	0.343621	40.4	36.7
MS11677	1	2739245	2896	133545	4.87525	0.0501379	40.2	36.4
MS11678	1	2739245	15109	612849	22.3729	0.258587	40.3	36.7
MS11679	1	2739245	263	10746	0.392298	0.00402702	40.7	33.8
MS11683	1	2739245	92	3283	0.119851	0.00131788	40.5	29.1
MS11684	1	2739245	1841	83778	3.05843	0.0312999	40.3	36.1
MS11686	1	2739245	326	12345	0.450672	0.00475642	40.7	31.8
MS11770	1	2739245	1030	47709	1.74168	0.0178283	40.1	36
MS11771	1	2739245	2700	114804	4.19108	0.0444462	40.4	35.8
MS11774	1	2739245	342	14649	0.534782	0.00551721	40.3	34.1
MS11775	1	2739245	8870	374817	13.6832	0.15142	40.2	36.3
