NZ_CP066370.1_Shewanella_putrefaciens	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4386330	149	4488	0.102318	0.00122426	40.9	26.3
MS11670	1	4386330	689	30160	0.687591	0.00699241	40.6	33.9
MS11673	1	4386330	71	2197	0.0500874	0.000568129	40.9	27.7
MS11674	1	4386330	284	10340	0.235732	0.00240474	40.9	27.3
MS11675	1	4386330	3263	105245	2.39939	0.0307779	40.7	26.9
MS11676	1	4386330	242	8993	0.205023	0.00214963	40.9	27.2
MS11677	1	4386330	147	4466	0.101816	0.00118687	41	27
MS11678	1	4386330	90	2932	0.066844	0.000741394	40.9	27.3
MS11679	1	4386330	61	2030	0.0462801	0.000484688	40.9	25.5
MS11683	1	4386330	81	2563	0.0584315	0.000648606	40.9	26.7
MS11684	1	4386330	51	1673	0.0381412	0.000395775	41	27.9
MS11686	1	4386330	59	1773	0.040421	0.000463485	41	27
MS11770	1	4386330	60	1811	0.0412874	0.000463485	40.9	26.1
MS11771	1	4386330	823	30825	0.702752	0.00755598	40.8	27.5
MS11774	1	4386330	205	7588	0.172992	0.00180196	40.7	26.6
MS11775	1	4386330	3019	93048	2.12132	0.0269635	40.8	27.1
