NZ_CP068551.1_Ectopseudomonas_khazarica	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	5384159	6880	159699	2.96609	0.047563	40.9	26.9
MS11670	1	5384159	3237	95397	1.77181	0.0226973	40.9	26.9
MS11673	1	5384159	3467	73573	1.36647	0.0238123	40.9	26.6
MS11674	1	5384159	789	24571	0.456357	0.00536723	40.9	26.8
MS11675	1	5384159	5241	121050	2.24826	0.0366564	40.9	26.8
MS11676	1	5384159	2365	70853	1.31595	0.0163309	40.9	26.9
MS11677	1	5384159	3160	89430	1.66098	0.0217995	40.9	26.9
MS11678	1	5384159	3874	92081	1.71022	0.0272557	40.9	26.6
MS11679	1	5384159	7815	202143	3.7544	0.0588155	40.7	27.6
MS11683	1	5384159	6595	147037	2.73092	0.0465412	40.9	27.1
MS11684	1	5384159	3933	122561	2.27633	0.0283792	40.8	27.7
MS11686	1	5384159	2091	57917	1.07569	0.0143913	40.9	26.8
MS11770	1	5384159	3263	80408	1.49342	0.0227724	40.9	26.7
MS11771	1	5384159	10245	265379	4.92888	0.0748789	40.8	27.3
MS11774	1	5384159	7418	199372	3.70294	0.0540129	40.8	27.6
MS11775	1	5384159	4682	129513	2.40545	0.032781	40.8	27.1
