NZ_CP071051.1_Leucobacter_sp.	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2941848	3924	77003	2.6175	0.049266	40.9	28.3
MS11670	1	2941848	1394	34250	1.16423	0.017555	40.9	28.7
MS11673	1	2941848	1942	36444	1.23881	0.0238761	40.9	27.6
MS11674	1	2941848	663	19019	0.646498	0.00824822	40.9	28.4
MS11675	1	2941848	11772	223522	7.59801	0.157032	40.8	29.7
MS11676	1	2941848	2687	78214	2.65867	0.034668	40.9	29.2
MS11677	1	2941848	2496	53351	1.81352	0.0309142	40.9	28.2
MS11678	1	2941848	2980	62240	2.11568	0.0381223	40.9	28.8
MS11679	1	2941848	6382	108362	3.68347	0.0824788	40.8	28.6
MS11683	1	2941848	7780	114129	3.8795	0.0990551	40.9	28.3
MS11684	1	2941848	2453	55010	1.86991	0.0309207	40.9	28.4
MS11686	1	2941848	2097	46240	1.5718	0.0263688	40.9	28.4
MS11770	1	2941848	2409	59032	2.00663	0.0309285	40.8	28.5
MS11771	1	2941848	4093	94780	3.22178	0.0542346	40.8	29
MS11774	1	2941848	5460	82419	2.80161	0.070299	40.8	28.6
MS11775	1	2941848	19983	477415	16.2284	0.280458	40.6	31
