NZ_CP082271.1_Pseudomonas_sp.	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4412895	2294	56949	1.29051	0.0188475	40.9	26.2
MS11670	1	4412895	946	28490	0.645608	0.00789504	40.9	26.1
MS11673	1	4412895	1198	30035	0.680619	0.00965126	40.9	26.1
MS11674	1	4412895	291	9397	0.212944	0.0023778	40.9	25.7
MS11675	1	4412895	1696	44700	1.01294	0.0141544	40.9	26.1
MS11676	1	4412895	816	25300	0.57332	0.00674772	40.9	26.2
MS11677	1	4412895	1085	31470	0.713137	0.00896078	40.9	26.4
MS11678	1	4412895	1280	33506	0.759275	0.0107209	40.9	26.2
MS11679	1	4412895	4290	124972	2.83197	0.0390601	40.7	27
MS11683	1	4412895	2962	81987	1.8579	0.0255225	40.8	26.6
MS11684	1	4412895	2591	97826	2.21682	0.0237486	40.7	32.8
MS11686	1	4412895	739	21365	0.484149	0.00612931	40.9	26.4
MS11770	1	4412895	1122	30008	0.680007	0.00930274	40.9	26.2
MS11771	1	4412895	3292	98898	2.24111	0.0291944	40.8	27.5
MS11774	1	4412895	1707	47178	1.06909	0.0145014	40.8	26.4
MS11775	1	4412895	1870	50667	1.14816	0.0155274	40.9	26.7
