NZ_CP082939.1_Edwardsiella_tarda	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3651448	1069	26210	0.717797	0.0105832	40.9	26.7
MS11670	1	3651448	440	12719	0.348328	0.00432787	40.9	26.8
MS11673	1	3651448	658	16359	0.448014	0.00650564	40.9	26.9
MS11674	1	3651448	365	13602	0.37251	0.00408112	40.6	31.6
MS11675	1	3651448	1107	30619	0.838544	0.0113237	40.8	27.1
MS11676	1	3651448	522	16995	0.465432	0.00540854	40.9	28.1
MS11677	1	3651448	582	17803	0.48756	0.00586124	40.8	27.3
MS11678	1	3651448	86982	2254868	61.7527	1.08312	40.5	36.1
MS11679	1	3651448	1942	68974	1.88895	0.0209914	40.7	29.8
MS11683	1	3651448	1900	60940	1.66893	0.0197434	40.8	28.9
MS11684	1	3651448	386	12255	0.33562	0.00381657	40.9	27.1
MS11686	1	3651448	378	11332	0.310343	0.00371606	40.9	27
MS11770	1	3651448	538	14759	0.404196	0.00538526	40.9	26.6
MS11771	1	3651448	28813	1008565	27.621	0.33651	40.6	35.9
MS11774	1	3651448	707	19428	0.532063	0.00711526	40.8	27.5
MS11775	1	3651448	578	16853	0.461543	0.00565529	40.9	26.7
