NZ_CP083759.1_Acinetobacter_pseudolwoffii	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2990327	185	5712	0.191016	0.00217133	40.9	26.5
MS11670	1	2990327	131	4155	0.138948	0.00160651	40.9	26.5
MS11673	1	2990327	79	2393	0.0800247	0.000854756	41	27.2
MS11674	1	2990327	123	4452	0.14888	0.0015209	40.9	28
MS11675	1	2990327	5599	220552	7.37551	0.0816827	40.5	31.2
MS11676	1	2990327	2755	108516	3.6289	0.0375671	40.8	33.2
MS11677	1	2990327	189	5537	0.185164	0.00230343	40.9	26.9
MS11678	1	2990327	2104	89927	3.00726	0.0308525	40.5	33.7
MS11679	1	2990327	624	28050	0.938025	0.00949629	40.4	33
MS11683	1	2990327	277	10651	0.356182	0.00367284	40.8	32.3
MS11684	1	2990327	608	23806	0.7961	0.00824458	40.7	31.4
MS11686	1	2990327	599	24339	0.813924	0.00822586	40.7	33.3
MS11770	1	2990327	1764	70607	2.36118	0.0245094	40.7	33.7
MS11771	1	2990327	6706	211288	7.06572	0.0940643	40.7	28.9
MS11774	1	2990327	371	13984	0.467641	0.00492956	40.8	28.2
MS11775	1	2990327	538	15996	0.534925	0.00650163	40.9	26.4
