NZ_CP084680.1_Bacteroides_parvus	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4240638	27	975	0.0229918	0.000237228	41	30.1
MS11670	1	4240638	245	9894	0.233314	0.00257202	40.5	33.1
MS11673	1	4240638	274	10446	0.246331	0.00271681	40.7	34
MS11674	1	4240638	286	9811	0.231357	0.00275171	40.8	33.8
MS11675	1	4240638	6436	90414	2.13208	0.0664417	40.6	33.7
MS11676	1	4240638	1813	39998	0.943207	0.017412	40.8	32.9
MS11677	1	4240638	1545	44692	1.0539	0.014848	40.8	33.3
MS11678	1	4240638	2318	58603	1.38194	0.0233861	40.7	33.2
MS11679	1	4240638	1646	44649	1.05288	0.0170599	40.5	33.3
MS11683	1	4240638	2490	55780	1.31537	0.02495	40.7	33.6
MS11684	1	4240638	2855	44600	1.05173	0.0287726	40.7	33.4
MS11686	1	4240638	3776	70357	1.65911	0.0375003	40.7	33.3
MS11770	1	4240638	638	22118	0.521572	0.00617902	40.8	33.1
MS11771	1	4240638	397	15010	0.353956	0.00384423	40.7	33.2
MS11774	1	4240638	6503	99793	2.35325	0.0657245	40.7	33.8
MS11775	1	4240638	9223	119492	2.81778	0.0966581	40.4	33.6
