NZ_CP089203.1_Vibrio_splendidus	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3562868	267	9090	0.255132	0.00293022	40.6	29.3
MS11670	1	3562868	104	3341	0.0937728	0.00108031	40.9	29.2
MS11673	1	3562868	71	1984	0.0556855	0.000680351	40.9	29
MS11674	1	3562868	1453	55665	1.56236	0.015952	40.8	34.8
MS11675	1	3562868	402	13109	0.367934	0.00423647	40.8	28.7
MS11676	1	3562868	276	8344	0.234193	0.00288504	40.9	29.2
MS11677	1	3562868	155	4162	0.116816	0.00157261	40.9	26.8
MS11678	1	3562868	144	4555	0.127846	0.001535	40.8	29.4
MS11679	1	3562868	125	4538	0.127369	0.00131916	40.8	28.7
MS11683	1	3562868	133	4431	0.124366	0.00141178	40.7	29.3
MS11684	1	3562868	184	6783	0.19038	0.00195657	40.8	31.4
MS11686	1	3562868	152	5351	0.150188	0.00164053	40.7	29.6
MS11770	1	3562868	320	12802	0.359317	0.00375568	40.6	32.2
MS11771	1	3562868	451	16488	0.462773	0.00478912	40.8	32.1
MS11774	1	3562868	2669	106017	2.97561	0.0310424	40.6	33.9
MS11775	1	3562868	619	19281	0.541165	0.00639681	40.8	28.5
