NZ_CP090968.1_Edwardsiella_piscicida	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3761542	1785	39520	1.05063	0.0169795	40.9	26.7
MS11670	1	3761542	728	19812	0.526699	0.00692163	40.9	27
MS11673	1	3761542	1011	23802	0.632772	0.00953758	40.9	26.8
MS11674	1	3761542	300	9125	0.242587	0.00288791	40.9	27.5
MS11675	1	3761542	1763	43829	1.16519	0.0172687	40.9	27.2
MS11676	1	3761542	692	20378	0.541746	0.00670151	40.9	27.4
MS11677	1	3761542	807	21698	0.576838	0.00770934	40.9	27.1
MS11678	1	3761542	1775	46869	1.246	0.0186963	40.8	29.2
MS11679	1	3761542	1262	34476	0.916539	0.0125039	40.8	27.2
MS11683	1	3761542	1585	37365	0.993343	0.0153504	40.9	26.7
MS11684	1	3761542	669	19339	0.514124	0.00661006	40.8	27.4
MS11686	1	3761542	610	16580	0.440777	0.00589253	40.8	26.8
MS11770	1	3761542	873	22510	0.598425	0.00849333	40.9	27.1
MS11771	1	3761542	1820	43643	1.16024	0.0181588	40.9	27.8
MS11774	1	3761542	1256	29701	0.789596	0.0121974	40.9	27.2
MS11775	1	3761542	985	26476	0.70386	0.00939349	40.9	26.6
