NZ_CP094882.1_Lactococcus_petauri	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2106259	89	3429	0.1628	0.00168593	40.8	31.7
MS11670	1	2106259	40	1535	0.072878	0.00072878	40.8	30.6
MS11673	1	2106259	63	2555	0.121305	0.00121305	40.6	31.8
MS11674	1	2106259	155857	1633127	77.5369	3.23582	40.6	33.8
MS11675	1	2106259	7280	196914	9.34899	0.164416	40.2	32.1
MS11676	1	2106259	225	8875	0.421363	0.0044325	40.4	31.8
MS11677	1	2106259	115	4563	0.21664	0.00219536	40.7	32.7
MS11678	1	2106259	115	4511	0.214171	0.00217257	40.9	30.8
MS11679	1	2106259	40	1679	0.0797148	0.000827059	40	30.9
MS11683	1	2106259	59	2438	0.11575	0.00119643	39.8	30.9
MS11684	1	2106259	288	12345	0.58611	0.0059627	40.6	31.7
MS11686	1	2106259	89	3412	0.161993	0.001741	40.8	30.4
MS11770	1	2106259	30	961	0.0456259	0.00056071	40.6	29.6
MS11771	1	2106259	68829	1416654	67.2592	1.54615	40.3	34
MS11774	1	2106259	80	2895	0.137447	0.0014889	40.8	29.1
MS11775	1	2106259	187	5131	0.243607	0.00333577	40.7	27.1
