NZ_CP102262.1_Bacteroides_stercoris	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4007931	866	30806	0.768626	0.00812115	40.8	33.8
MS11670	1	4007931	7088	299460	7.47169	0.0801571	40.6	36.1
MS11673	1	4007931	1233	48300	1.20511	0.0123842	40.7	34.9
MS11674	1	4007931	1575	61577	1.53638	0.0158618	40.7	35
MS11675	1	4007931	110528	2389516	59.6197	1.24247	40.5	36.4
MS11676	1	4007931	20035	713921	17.8127	0.209329	40.8	35.7
MS11677	1	4007931	62421	1680175	41.9213	0.629959	40.8	36.2
MS11678	1	4007931	45815	1441542	35.9672	0.498568	40.6	36.2
MS11679	1	4007931	30475	1067783	26.6418	0.339746	40.4	36
MS11683	1	4007931	38740	1230740	30.7076	0.410369	40.7	36
MS11684	1	4007931	13901	526609	13.1392	0.149627	40.6	35.7
MS11686	1	4007931	83001	2029629	50.6403	0.888385	40.6	35.9
MS11770	1	4007931	11439	436934	10.9017	0.119199	40.7	36.2
MS11771	1	4007931	10121	395444	9.86654	0.107032	40.7	36.2
MS11774	1	4007931	176963	2796385	69.7713	1.90869	40.6	36.4
MS11775	1	4007931	175876	2634700	65.7372	1.98585	40.3	36.3
