NZ_CP117568.1_Escherichia_albertii	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4681166	300	9539	0.203774	0.0022943	40.9	26.2
MS11670	1	4681166	553	21463	0.458497	0.00481013	40.7	29.2
MS11673	1	4681166	219	7025	0.150069	0.00170769	40.8	28.1
MS11674	1	4681166	7159	150560	3.21629	0.0611348	40.8	32.1
MS11675	1	4681166	5686	194616	4.15743	0.0513714	40.6	29.7
MS11676	1	4681166	3144	86727	1.85268	0.0274808	40.7	31.7
MS11677	1	4681166	351	11905	0.254317	0.00282771	40.9	28.4
MS11678	1	4681166	880	27745	0.592694	0.00811507	40.6	31.7
MS11679	1	4681166	1461	43982	0.939552	0.0143355	40.2	30.9
MS11683	1	4681166	1091	29682	0.634073	0.0102835	40.4	30.8
MS11684	1	4681166	6931	150798	3.22138	0.0639956	40.6	31.6
MS11686	1	4681166	414	16265	0.347456	0.00363627	40.6	27.9
MS11770	1	4681166	2753	89652	1.91516	0.0244144	40.7	31.2
MS11771	1	4681166	21419	296752	6.33928	0.212794	40.3	32
MS11774	1	4681166	3398	124611	2.66196	0.0310098	40.6	30.2
MS11775	1	4681166	3432	129877	2.77446	0.0308103	40.6	29.4
