NZ_CP118962.1_Enterococcus_faecalis	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2866949	266	10235	0.357	0.00367429	40.7	33.2
MS11670	1	2866949	89	3181	0.110954	0.001195	40.7	31.6
MS11673	1	2866949	268	11603	0.404716	0.00409355	40.6	35.1
MS11674	1	2866949	37242	1153545	40.236	0.551681	40.7	36.6
MS11675	1	2866949	59511	1687391	58.8567	0.981109	40.3	36.5
MS11676	1	2866949	621	22248	0.776017	0.00881006	40.7	32.5
MS11677	1	2866949	269	10370	0.361709	0.00370673	40.8	33.3
MS11678	1	2866949	2868	118852	4.14559	0.0446063	40.5	36
MS11679	1	2866949	487	20950	0.730742	0.0077933	40.2	34.8
MS11683	1	2866949	343	13070	0.455885	0.00497288	40.6	33.2
MS11684	1	2866949	39229	1239901	43.2481	0.612659	40.5	36.6
MS11686	1	2866949	525	17003	0.593069	0.00733288	40.7	32.1
MS11770	1	2866949	203	7791	0.271752	0.00282844	40.9	32
MS11771	1	2866949	29637	1048836	36.5837	0.481107	40.3	36.5
MS11774	1	2866949	2383	103404	3.60676	0.0373376	40.4	36.1
MS11775	1	2866949	638	17207	0.600185	0.00875949	40.7	28.9
