NZ_CP118963.1_Acinetobacter_lwoffii	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3166595	233	7927	0.250332	0.00269153	40.8	28.2
MS11670	1	3166595	122	4057	0.128119	0.00139772	40.9	27.1
MS11673	1	3166595	98	2991	0.0944548	0.00105918	40.9	27.3
MS11674	1	3166595	133	4960	0.156635	0.00161151	40.8	28.4
MS11675	1	3166595	8984	345182	10.9007	0.124323	40.5	31.5
MS11676	1	3166595	2341	91706	2.89604	0.0299435	40.8	31.6
MS11677	1	3166595	174	5005	0.158056	0.0020012	40.9	27.6
MS11678	1	3166595	1402	58307	1.84132	0.0188897	40.6	31.7
MS11679	1	3166595	707	30473	0.962327	0.00978717	40.5	31.4
MS11683	1	3166595	155	5573	0.175993	0.00181962	40.9	29.3
MS11684	1	3166595	1627	62997	1.98942	0.0217186	40.6	32.4
MS11686	1	3166595	237	9162	0.289333	0.00294891	40.8	29.3
MS11770	1	3166595	977	37032	1.16946	0.0128318	40.7	31.4
MS11771	1	3166595	8837	286814	9.05749	0.117916	40.6	30.1
MS11774	1	3166595	678	26649	0.841566	0.00876462	40.6	30.8
MS11775	1	3166595	635	20605	0.650699	0.00739911	40.9	28.3
