NZ_CP132914.1_Shewanella_oncorhynchi	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	5034612	132	4028	0.0800062	0.000962736	40.9	25.8
MS11670	1	5034612	2279	100022	1.98669	0.0201432	40.6	32.9
MS11673	1	5034612	72	2220	0.0440948	0.000510466	40.9	26.7
MS11674	1	5034612	487	18168	0.360862	0.00367377	40.9	26.5
MS11675	1	5034612	7415	235948	4.68652	0.0638238	40.6	26.7
MS11676	1	5034612	607	23169	0.460194	0.00485757	40.8	28
MS11677	1	5034612	116	3305	0.0656456	0.000892621	40.9	26.1
MS11678	1	5034612	78	2860	0.0568068	0.000598656	40.8	27.5
MS11679	1	5034612	54	1946	0.0386524	0.000400627	40.8	26.6
MS11683	1	5034612	54	1861	0.0369641	0.000389504	40.8	25.5
MS11684	1	5034612	35	1250	0.0248281	0.000248281	40.8	26.8
MS11686	1	5034612	38	1264	0.0251062	0.000262582	40.9	26.2
MS11770	1	5034612	41	1235	0.0245302	0.000336074	40.8	27.4
MS11771	1	5034612	3158	121329	2.4099	0.0262034	40.7	27.3
MS11774	1	5034612	728	30924	0.614228	0.006356	40.5	30.2
MS11775	1	5034612	5740	179880	3.57287	0.047059	40.6	26.5
