NZ_CP145608.1_Brochothrix_thermosphacta	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2564037	162	4238	0.165286	0.00229365	40.9	28.7
MS11670	1	2564037	70	1770	0.0690318	0.00104835	40.9	27.7
MS11673	1	2564037	90	2132	0.0831501	0.00131433	40.6	30.4
MS11674	1	2564037	270	10710	0.417701	0.00427295	40.7	35
MS11675	1	2564037	1094	26492	1.03321	0.0164097	40.8	28.5
MS11676	1	2564037	443	16488	0.643048	0.00704202	40.6	32.6
MS11677	1	2564037	105	3050	0.118953	0.00145942	40.9	26.7
MS11678	1	2564037	4491	202644	7.90332	0.0830947	40.2	36.3
MS11679	1	2564037	61	1655	0.0645467	0.000886493	40.8	27.4
MS11683	1	2564037	93	2374	0.0925884	0.00128118	40.9	27.2
MS11684	1	2564037	84	2637	0.102846	0.00121059	40.9	27
MS11686	1	2564037	136	3474	0.135489	0.0018974	40.9	27.6
MS11770	1	2564037	80	2038	0.079484	0.00117549	40.8	27.6
MS11771	1	2564037	688	19791	0.771869	0.010813	40.7	30.5
MS11774	1	2564037	140	4603	0.179522	0.00207056	40.7	29.6
MS11775	1	2564037	1226	44911	1.75157	0.0202329	40.4	32.9
