NZ_CP146077.1_Pseudomonas_bubulae	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	5144743	1377	44408	0.863172	0.010079	40.8	26.5
MS11670	1	5144743	853	30478	0.592411	0.00644561	40.8	26.7
MS11673	1	5144743	581	16735	0.325283	0.00415648	40.8	27.4
MS11674	1	5144743	373	14320	0.278342	0.00285048	40.7	29.7
MS11675	1	5144743	138649	3342583	64.9708	1.23687	40.3	33.8
MS11676	1	5144743	1797	70540	1.37111	0.0141832	40.7	30.4
MS11677	1	5144743	1083	39632	0.77034	0.00812558	40.9	28.4
MS11678	1	5144743	4248	177291	3.44606	0.0358329	40.6	32.1
MS11679	1	5144743	1170	21629	0.42041	0.00973149	40.5	29.7
MS11683	1	5144743	856	18620	0.361923	0.00624288	40.8	28.1
MS11684	1	5144743	411	14008	0.272278	0.00295875	40.9	25.9
MS11686	1	5144743	280	9600	0.186598	0.00199135	40.9	25.6
MS11770	1	5144743	1281	49715	0.966326	0.0101072	40.7	30.5
MS11771	1	5144743	7557	275398	5.353	0.0622169	40.6	27.5
MS11774	1	5144743	1038	33956	0.660014	0.00787231	40.7	26.7
MS11775	1	5144743	3938	146337	2.8444	0.0309629	40.6	30.3
