NZ_CP182860.1_Bacteroides_zhangwenhongii	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	6093173	284	8493	0.139386	0.00164479	40.9	28.7
MS11670	1	6093173	1529	57061	0.936474	0.0106916	40.7	33.8
MS11673	1	6093173	768	22763	0.373582	0.00494783	40.9	32
MS11674	1	6093173	780	19223	0.315484	0.00497147	40.9	30.8
MS11675	1	6093173	5074	129207	2.12052	0.0349603	40.6	31.8
MS11676	1	6093173	4135	87791	1.44081	0.0274397	40.8	32.2
MS11677	1	6093173	6484	227306	3.7305	0.0426456	40.9	34.3
MS11678	1	6093173	6477	205832	3.37808	0.045141	40.7	33.6
MS11679	1	6093173	2806	78844	1.29397	0.0198767	40.6	32.6
MS11683	1	6093173	3973	105233	1.72706	0.0270173	40.7	32.6
MS11684	1	6093173	11382	177058	2.90584	0.0805237	40.7	31.5
MS11686	1	6093173	11641	275170	4.51604	0.0823436	40.6	32.9
MS11770	1	6093173	2274	77611	1.27374	0.0154181	40.7	33.3
MS11771	1	6093173	1229	38523	0.632232	0.00831751	40.7	33.1
MS11774	1	6093173	17939	559300	9.17913	0.125404	40.7	34.2
MS11775	1	6093173	92788	2131342	34.9792	0.688593	40.3	35.2
