NZ_CP188204.1_Chryseobacterium_balustinum	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4709021	843	21875	0.464534	0.00639156	40.9	28.7
MS11670	1	4709021	357	11838	0.25139	0.00287236	40.8	29.3
MS11673	1	4709021	157	4414	0.093735	0.00119239	40.9	27.9
MS11674	1	4709021	172	6029	0.128031	0.00135294	40.9	28.8
MS11675	1	4709021	2800	99419	2.11125	0.0244335	40.6	30.7
MS11676	1	4709021	946	29167	0.619386	0.00738943	40.9	29.6
MS11677	1	4709021	506	14204	0.301634	0.00392098	40.9	28.5
MS11678	1	4709021	587	19928	0.423188	0.00475704	40.8	29.7
MS11679	1	4709021	356	10953	0.232596	0.00286939	40.8	28.6
MS11683	1	4709021	368	11320	0.24039	0.00291568	40.8	28.9
MS11684	1	4709021	527	20122	0.427308	0.00448671	40.7	31.3
MS11686	1	4709021	357	11892	0.252537	0.00285686	40.8	29.5
MS11770	1	4709021	995	39799	0.845165	0.00890482	40.7	33.3
MS11771	1	4709021	22405	858654	18.2342	0.219849	40.3	34.9
MS11774	1	4709021	526	16989	0.360776	0.00434209	40.8	29.8
MS11775	1	4709021	3002	77872	1.65368	0.0237478	40.9	28.8
