NZ_LN650648.1_Romboutsia_hominis	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3039773	3299	141423	4.65242	0.0487504	40.4	35.1
MS11670	1	3039773	30276	1110833	36.5433	0.49448	40.1	35.6
MS11673	1	3039773	5700	263423	8.66588	0.0929451	40.1	35.4
MS11674	1	3039773	84818	1856295	61.0669	1.2412	40.5	36.5
MS11675	1	3039773	87931	2039015	67.0779	1.43869	40.1	35.8
MS11676	1	3039773	50721	1307840	43.0243	0.744874	40.6	35.3
MS11677	1	3039773	7842	281918	9.27431	0.113963	40.6	35
MS11678	1	3039773	14826	601761	19.7962	0.235337	40.1	34.8
MS11679	1	3039773	8376	355241	11.6864	0.129806	40.3	35
MS11683	1	3039773	6814	271061	8.91715	0.0968388	40.7	34.7
MS11684	1	3039773	6242	257292	8.46418	0.092425	40.5	34
MS11686	1	3039773	8421	332533	10.9394	0.122404	40.5	34.3
MS11770	1	3039773	12663	502639	16.5354	0.190889	40.4	35.2
MS11771	1	3039773	16670	680109	22.3737	0.265368	40	35.7
MS11774	1	3039773	17839	665423	21.8905	0.265195	40.4	35.2
MS11775	1	3039773	23265	846050	27.8327	0.360743	40.2	34.8
