NZ_LN679998.1_Paraclostridium_sordellii	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3394044	6867	277625	8.17977	0.0908477	40.4	34.7
MS11670	1	3394044	43317	1404827	41.3909	0.618847	40.4	35.3
MS11673	1	3394044	1333	56683	1.67007	0.0181574	40.3	32.7
MS11674	1	3394044	15088	533875	15.7298	0.188995	40.7	34.4
MS11675	1	3394044	23025	658575	19.4038	0.317281	40.3	32.8
MS11676	1	3394044	42966	1041190	30.677	0.54161	40.7	33.3
MS11677	1	3394044	5084	176603	5.20332	0.0640596	40.6	32.1
MS11678	1	3394044	11377	364402	10.7365	0.151791	40.4	32.3
MS11679	1	3394044	4645	168297	4.9586	0.0629161	40.3	31.9
MS11683	1	3394044	3682	131968	3.88822	0.0462534	40.7	31.5
MS11684	1	3394044	5619	231443	6.81909	0.0742129	40.5	34.4
MS11686	1	3394044	16603	625157	18.4192	0.21896	40.5	34.9
MS11770	1	3394044	7840	315580	9.29805	0.10889	40.1	34.1
MS11771	1	3394044	12631	478495	14.0981	0.175768	40.2	34.6
MS11774	1	3394044	10923	355161	10.4642	0.138851	40.6	32.7
MS11775	1	3394044	15524	459527	13.5392	0.20474	40.4	32.4
