NZ_LR134474.1_Kurthia_zopfii	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3061888	610	19657	0.64199	0.0076897	40.8	30.2
MS11670	1	3061888	101	3549	0.115909	0.00125739	40.7	30.8
MS11673	1	3061888	288	7119	0.232504	0.00412719	40.5	33.8
MS11674	1	3061888	2873	112954	3.68903	0.0378939	40.7	36.1
MS11675	1	3061888	140470	2244440	73.3025	2.20963	40.2	36.2
MS11676	1	3061888	10876	407542	13.3102	0.147877	40.7	36.1
MS11677	1	3061888	232	9209	0.300762	0.00314512	40.5	31.8
MS11678	1	3061888	17387	659079	21.5252	0.254617	40.5	36.2
MS11679	1	3061888	4984	201315	6.57486	0.0694813	40.6	36.1
MS11683	1	3061888	4172	160934	5.25604	0.0548547	40.8	36
MS11684	1	3061888	588	23902	0.780629	0.00798854	40.6	34
MS11686	1	3061888	207	6629	0.2165	0.00252753	40.9	29.2
MS11770	1	3061888	590	23609	0.77106	0.00813256	40.7	35.6
MS11771	1	3061888	3736	130100	4.24901	0.0505708	40.7	33.6
MS11774	1	3061888	11386	476735	15.57	0.175443	40.1	36.3
MS11775	1	3061888	491	11855	0.387179	0.00583333	40.9	28
