NZ_OX460909.1_Photobacterium_phosphoreum	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3242459	213	7500	0.231306	0.00238153	40.9	27.6
MS11670	1	3242459	83	2513	0.0775029	0.000917822	41	27.1
MS11673	1	3242459	67	1827	0.0563461	0.000678497	41	28.3
MS11674	1	3242459	79	2695	0.0831159	0.000872486	40.9	27.4
MS11675	1	3242459	262	8598	0.265169	0.00296596	40.9	26.6
MS11676	1	3242459	198	6858	0.211506	0.00224829	41	27.6
MS11677	1	3242459	156	4257	0.131289	0.00175577	40.9	26.2
MS11678	1	3242459	81	2572	0.0793225	0.00090086	41	26.5
MS11679	1	3242459	98	3339	0.102977	0.00108313	40.8	27.6
MS11683	1	3242459	92	3326	0.102576	0.00105383	40.9	27.7
MS11684	1	3242459	56	1893	0.0583816	0.000623909	40.8	27.6
MS11686	1	3242459	160	5800	0.178877	0.00201853	40.6	27.6
MS11770	1	3242459	105	3924	0.121019	0.00133664	40.6	29.1
MS11771	1	3242459	284	10609	0.32719	0.00338293	40.7	29.8
MS11774	1	3242459	1000	37341	1.15163	0.0121537	40.7	29.4
MS11775	1	3242459	2583	95952	2.95924	0.0312075	40.7	32.7
