Phocaeicola_vulgatus	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4957189	422	13927	0.280946	0.00312939	40.9	31.1
MS11670	1	4957189	2155	90939	1.83449	0.0193323	40.5	34.9
MS11673	1	4957189	2688	104364	2.10531	0.02186	40.8	35.2
MS11674	1	4957189	1746	59489	1.20006	0.0136993	40.8	32.8
MS11675	1	4957189	24177	797818	16.0942	0.212138	40.6	34.8
MS11676	1	4957189	6855	199074	4.01586	0.0549309	40.8	32.4
MS11677	1	4957189	110804	2586588	52.1785	0.90203	40.9	36.4
MS11678	1	4957189	50531	1592300	32.121	0.436774	40.7	36.2
MS11679	1	4957189	27552	977784	19.7246	0.242326	40.6	35.8
MS11683	1	4957189	35584	1138516	22.967	0.299927	40.7	35.6
MS11684	1	4957189	19108	647767	13.0672	0.163262	40.7	34.8
MS11686	1	4957189	53645	1637042	33.0236	0.459598	40.7	35.7
MS11770	1	4957189	9307	361181	7.286	0.0785241	40.7	35.8
MS11771	1	4957189	5412	214995	4.33703	0.0456979	40.7	35.5
MS11774	1	4957189	127734	2790944	56.3009	1.10571	40.6	36.2
MS11775	1	4957189	561730	3922387	79.1252	5.07938	40.4	36.3
