Providencia_alcalifaciens_str_FDAARGOS_408	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3990106	254	7015	0.17581	0.0022844	40.9	26.9
MS11670	1	3990106	148	4580	0.114784	0.00136187	40.9	27.9
MS11673	1	3990106	107	3609	0.0904487	0.000972155	40.9	29.3
MS11674	1	3990106	1043	40366	1.01165	0.0102925	40.8	35.2
MS11675	1	3990106	5700	191514	4.79972	0.0594378	40.7	31.4
MS11676	1	3990106	1729	62419	1.56434	0.0167745	40.9	30.9
MS11677	1	3990106	258	7705	0.193103	0.002325	40.9	27.1
MS11678	1	3990106	442	15202	0.380992	0.00426806	40.8	29.2
MS11679	1	3990106	139107	2924633	73.2971	1.62645	40.3	36.6
MS11683	1	3990106	146238	2866764	71.8468	1.56521	40.6	36.6
MS11684	1	3990106	4894	200649	5.02866	0.051965	40.6	36.4
MS11686	1	3990106	1779	72992	1.82932	0.018611	40.7	35.7
MS11770	1	3990106	460	18007	0.451291	0.00459737	40.8	34.4
MS11771	1	3990106	2437	85387	2.13997	0.0247013	40.8	31.5
MS11774	1	3990106	813	32217	0.807422	0.00844088	40.7	32.7
MS11775	1	3990106	1023	25181	0.631086	0.00934787	40.9	27.9
