Pseudomonas_fragi_str_NL20W	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	5072729	7670	206529	4.07136	0.0569396	40.9	29.1
MS11670	1	5072729	5172	177401	3.49715	0.0405555	40.8	29.4
MS11673	1	5072729	2458	54155	1.06757	0.0174655	40.9	27.5
MS11674	1	5072729	1487	52754	1.03995	0.0111159	40.8	31.3
MS11675	1	5072729	284771	4255662	83.8929	2.5132	40.4	34.7
MS11676	1	5072729	8773	323039	6.36815	0.0696193	40.8	33
MS11677	1	5072729	4366	140044	2.76072	0.0324991	40.9	29.4
MS11678	1	5072729	8878	307231	6.05652	0.0714286	40.7	30.8
MS11679	1	5072729	5033	117660	2.31946	0.0371893	40.9	27.6
MS11683	1	5072729	4269	88422	1.74309	0.0306671	40.9	27.3
MS11684	1	5072729	2665	79187	1.56103	0.0197616	40.9	28.2
MS11686	1	5072729	1508	41822	0.824448	0.0108023	40.9	27.4
MS11770	1	5072729	4951	156323	3.08164	0.0380393	40.8	30.6
MS11771	1	5072729	47789	1350822	26.6291	0.401785	40.6	31.1
MS11774	1	5072729	5180	134055	2.64266	0.0390774	40.8	27.7
MS11775	1	5072729	10853	351453	6.92828	0.0851993	40.7	30.6
