Pseudomonas_lundensis_strain_2T.2.5.2	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4895759	4603	109295	2.23244	0.0343381	40.9	27
MS11670	1	4895759	2622	81238	1.65935	0.0203713	40.9	27.4
MS11673	1	4895759	1683	36385	0.743194	0.0122812	40.9	26.7
MS11674	1	4895759	815	27098	0.553499	0.00606933	40.9	28.4
MS11675	1	4895759	19834	568739	11.617	0.164935	40.7	28.6
MS11676	1	4895759	4129	142811	2.91703	0.0324183	40.9	30.2
MS11677	1	4895759	2320	66332	1.35489	0.0173806	40.9	27.3
MS11678	1	4895759	5639	188763	3.85564	0.0459204	40.8	29.9
MS11679	1	4895759	3568	85798	1.7525	0.0273788	40.9	27
MS11683	1	4895759	3227	68952	1.4084	0.0238703	40.9	27
MS11684	1	4895759	1896	56060	1.14507	0.0143167	40.9	27.4
MS11686	1	4895759	1165	31756	0.648643	0.0086816	40.9	26.8
MS11770	1	4895759	4407	146005	2.98228	0.03532	40.8	30
MS11771	1	4895759	29267	843797	17.2353	0.248726	40.7	29.5
MS11774	1	4895759	3572	90293	1.84431	0.0274248	40.8	27.2
MS11775	1	4895759	5774	166377	3.39839	0.0449317	40.8	28.4
