Rhodococcus_gordoniae_str_DND3	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4550112	11124	208813	4.58918	0.0913191	40.9	29.1
MS11670	1	4550112	2844	59848	1.31531	0.0229608	40.9	28.4
MS11673	1	4550112	4284	67614	1.48599	0.0340847	40.9	28.1
MS11674	1	4550112	1505	39977	0.878594	0.0120199	40.9	28.7
MS11675	1	4550112	14481	228760	5.02757	0.119943	40.9	29.2
MS11676	1	4550112	4040	94733	2.08199	0.0328042	40.9	29
MS11677	1	4550112	7808	174669	3.83878	0.0640028	40.9	29.4
MS11678	1	4550112	6794	108201	2.37799	0.0559613	40.9	28.8
MS11679	1	4550112	209734	3800288	83.5208	2.16313	40.3	36.2
MS11683	1	4550112	101547	2509939	55.1621	0.950288	40.6	35.2
MS11684	1	4550112	7595	162342	3.56787	0.0632237	40.9	29.6
MS11686	1	4550112	10648	315365	6.93093	0.0933326	40.7	32.6
MS11770	1	4550112	4607	92053	2.02309	0.0375463	40.9	28.7
MS11771	1	4550112	5548	105322	2.31471	0.0453853	40.9	28.6
MS11774	1	4550112	14301	144318	3.17175	0.119538	40.9	29
MS11775	1	4550112	5403	106311	2.33645	0.044004	40.9	28.9
