Salmonella_enterica_enterica_Enteritidis	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4934513	18	461	0.00934236	0.000133752	40.9	26.3
MS11670	1	4934513	7	212	0.00429627	4.9245e-05	41	27.7
MS11673	1	4934513	8	238	0.00482317	5.49193e-05	41	28.9
MS11674	1	4934513	54	989	0.0200425	0.000414225	40.9	33.1
MS11675	1	4934513	249	8466	0.171567	0.00229384	40.3	33.7
MS11676	1	4934513	78	2245	0.0454959	0.000647683	40.4	28.9
MS11677	1	4934513	5	169	0.00342486	3.42486e-05	40.7	27.4
MS11678	1	4934513	61	1692	0.0342891	0.000547369	40.5	31.9
MS11679	1	4934513	68	1139	0.0230823	0.000624783	40.6	28.8
MS11683	1	4934513	75	1569	0.0317965	0.000681932	40.4	28.2
MS11684	1	4934513	121	3445	0.0698144	0.00107994	40.7	30.4
MS11686	1	4934513	8	257	0.00520821	5.81618e-05	40.9	25.9
MS11770	1	4934513	80	2387	0.0483736	0.00069328	40.4	30.3
MS11771	1	4934513	201	4694	0.0951259	0.00183321	40.4	29.9
MS11774	1	4934513	97	2787	0.0564797	0.000947003	40.1	27.9
MS11775	1	4934513	9	357	0.00723476	7.84272e-05	40.2	28.4
