Salmonella_enterica_enterica_Infantis	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4857909	56	1894	0.038988	0.000420757	40.9	29.6
MS11670	1	4857909	41	1613	0.0332036	0.000341299	40.7	30.1
MS11673	1	4857909	23	769	0.0158299	0.00017312	41	28.6
MS11674	1	4857909	510	6856	0.141131	0.0040643	40.9	33.8
MS11675	1	4857909	961	22339	0.459848	0.00869263	40.5	31.6
MS11676	1	4857909	3172	63763	1.31256	0.026751	40.8	35.8
MS11677	1	4857909	32	1106	0.022767	0.000244344	40.9	29.1
MS11678	1	4857909	190	7293	0.150126	0.00162745	40.8	34
MS11679	1	4857909	308	9817	0.202083	0.00284011	40.4	32.7
MS11683	1	4857909	226	7181	0.147821	0.00189773	40.7	32.3
MS11684	1	4857909	1738	42687	0.878711	0.0156794	40.5	32.9
MS11686	1	4857909	197	7474	0.153852	0.00177175	40.5	30.9
MS11770	1	4857909	168	6102	0.12561	0.00139566	40.7	31.6
MS11771	1	4857909	9525	87008	1.79106	0.091617	40.3	35.3
MS11774	1	4857909	150	6103	0.12563	0.00132403	40.5	29
MS11775	1	4857909	76	2761	0.0568352	0.000626607	40.5	27.4
