Salmonella_enterica_enterica_Paratyphi_A	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4612373	56	1496	0.0324345	0.000426895	41	25.6
MS11670	1	4612373	22	685	0.0148514	0.000179084	41	26.5
MS11673	1	4612373	24	644	0.0139624	0.000187539	40.9	24.9
MS11674	1	4612373	19	648	0.0140492	0.000154801	41	29.1
MS11675	1	4612373	154	5291	0.114713	0.00130844	40.8	26.7
MS11676	1	4612373	44	1575	0.0341473	0.000357733	40.9	25.8
MS11677	1	4612373	31	942	0.0204233	0.000243692	41	25.1
MS11678	1	4612373	44	1310	0.0284019	0.000352313	40.8	26.3
MS11679	1	4612373	51	1472	0.0319142	0.000435134	40.9	25.6
MS11683	1	4612373	51	1181	0.025605	0.000401745	40.9	25.5
MS11684	1	4612373	50	1749	0.0379197	0.000431231	40.9	27.6
MS11686	1	4612373	42	1580	0.0342557	0.000370091	40.2	25.9
MS11770	1	4612373	38	1233	0.0267324	0.00032131	40.9	25.7
MS11771	1	4612373	85	2449	0.0530963	0.000760563	40.6	26.9
MS11774	1	4612373	72	2387	0.0517521	0.000600559	40.8	25.8
MS11775	1	4612373	52	1892	0.0410201	0.000461151	40.7	27.4
