Salmonella_enterica_enterica_Paratyphi_B	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4804355	40	1176	0.0244778	0.000309927	40.9	25.1
MS11670	1	4804355	33	1277	0.0265801	0.000283701	40.7	30.9
MS11673	1	4804355	24	799	0.0166307	0.000187746	41	26
MS11674	1	4804355	918	14772	0.307471	0.0079736	40.7	31.9
MS11675	1	4804355	608	16292	0.339109	0.00557994	40.4	31.1
MS11676	1	4804355	146	5358	0.111524	0.00122243	40.7	29.4
MS11677	1	4804355	30	963	0.0200443	0.000234995	41	25.2
MS11678	1	4804355	48	1702	0.0354262	0.000395266	40.9	27.9
MS11679	1	4804355	152	6022	0.125345	0.00147096	40.2	31.6
MS11683	1	4804355	102	3697	0.076951	0.000897103	40.7	29.3
MS11684	1	4804355	308	10290	0.214181	0.00286053	40.5	30.5
MS11686	1	4804355	47	1777	0.0369873	0.000394018	40.2	27.1
MS11770	1	4804355	48	1803	0.0375285	0.000390271	40.7	26.6
MS11771	1	4804355	2288	19960	0.415456	0.0232878	40.1	31
MS11774	1	4804355	65	2300	0.0478732	0.000561574	40.7	26.9
MS11775	1	4804355	45	1794	0.0373411	0.000388189	40.6	26.3
