Salmonella_enterica_enterica_Paratyphi_C	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4833080	30	958	0.0198217	0.000222425	40.9	26.2
MS11670	1	4833080	24	979	0.0202562	0.000202562	40.8	28
MS11673	1	4833080	13	499	0.0103247	0.000103247	40.9	26.7
MS11674	1	4833080	69	1801	0.037264	0.000569823	40.9	31.6
MS11675	1	4833080	159	6071	0.125613	0.00142104	40.4	27.7
MS11676	1	4833080	231	6214	0.128572	0.00202976	40.6	31.8
MS11677	1	4833080	36	1295	0.0267945	0.000292981	41	31.3
MS11678	1	4833080	371	8157	0.168774	0.00364405	40.1	34.6
MS11679	1	4833080	936	11130	0.230288	0.00983389	39.7	34.7
MS11683	1	4833080	863	10730	0.222012	0.00847513	40.1	35
MS11684	1	4833080	364	9747	0.201673	0.003259	40.6	33.3
MS11686	1	4833080	40	1586	0.0328155	0.000334776	40.1	27.8
MS11770	1	4833080	159	5816	0.120337	0.00151229	40.2	33
MS11771	1	4833080	249	7110	0.147111	0.00223874	40.5	32
MS11774	1	4833080	378	9423	0.194969	0.00372971	40.1	33.5
MS11775	1	4833080	51	1713	0.0354432	0.000405125	40.6	28.1
