Salmonella_enterica_enterica_Typhi	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4791961	55	1555	0.0324502	0.000434895	40.9	28.5
MS11669murium	1	4857450	0	0	0	0	0	0
MS11670	1	4791961	58	1994	0.0416114	0.000485605	40.8	28.3
MS11670murium	1	4857450	0	0	0	0	0	0
MS11673	1	4791961	35	1034	0.0215778	0.000285269	40.9	26.9
MS11673murium	1	4857450	0	0	0	0	0	0
MS11674	1	4791961	414	8772	0.183057	0.00356034	40.8	32
MS11674murium	1	4857450	0	0	0	0	0	0
MS11675	1	4791961	242	9287	0.193804	0.00211667	40.6	28.8
MS11675murium	1	4857450	0	0	0	0	0	0
MS11676	1	4791961	175	6285	0.131157	0.00146308	40.9	29.6
MS11676murium	1	4857450	0	0	0	0	0	0
MS11677	1	4791961	50	1481	0.0309059	0.000379177	40.9	27.3
MS11677murium	1	4857450	0	0	0	0	0	0
MS11678	1	4791961	67	2323	0.048477	0.000587233	40.7	27.8
MS11678murium	1	4857450	0	0	0	0	0	0
MS11679	1	4791961	527	17842	0.372332	0.00489445	40.5	34.3
MS11679murium	1	4857450	0	0	0	0	0	0
MS11683	1	4791961	323	11515	0.240298	0.00283621	40.7	33.9
MS11683murium	1	4857450	0	0	0	0	0	0
MS11684	1	4791961	883	17849	0.372478	0.00827824	40.5	31.3
MS11684murium	1	4857450	0	0	0	0	0	0
MS11686	1	4791961	116	4630	0.0966202	0.0010094	40.6	29.2
MS11686murium	1	4857450	0	0	0	0	0	0
MS11770	1	4791961	169	5342	0.111478	0.00144179	40.8	31.7
MS11770murium	1	4857450	0	0	0	0	0	0
MS11771	1	4791961	5015	41451	0.865011	0.0506719	40.1	35.5
MS11771murium	1	4857450	0	0	0	0	0	0
MS11774	1	4791961	160	6261	0.130656	0.0014251	40.6	29.2
MS11774murium	1	4857450	0	0	0	0	0	0
MS11775	1	4791961	75	2608	0.0544245	0.00060518	40.5	26.4
MS11775murium	1	4857450	0	0	0	0	0	0
