Salmonella_enterica_enterica_str_PartC-Senterica-RM8376	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4857492	0	0	0	0	0	0
MS11670	1	4857492	0	0	0	0	0	0
MS11673	1	4857492	0	0	0	0	0	0
MS11674	1	4857492	0	0	0	0	0	0
MS11675	1	4857492	0	0	0	0	0	0
MS11676	1	4857492	0	0	0	0	0	0
MS11677	1	4857492	0	0	0	0	0	0
MS11678	1	4857492	0	0	0	0	0	0
MS11679	1	4857492	0	0	0	0	0	0
MS11683	1	4857492	0	0	0	0	0	0
MS11684	1	4857492	0	0	0	0	0	0
MS11686	1	4857492	0	0	0	0	0	0
MS11770	1	4857492	0	0	0	0	0	0
MS11771	1	4857492	0	0	0	0	0	0
MS11774	1	4857492	0	0	0	0	0	0
MS11775	1	4857492	0	0	0	0	0	0
