Salmonella_enterica_str_FDAARGOS_878	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4874787	0	0	0	0	0	0
MS11670	1	4874787	0	0	0	0	0	0
MS11673	1	4874787	0	0	0	0	0	0
MS11674	1	4874787	0	0	0	0	0	0
MS11675	1	4874787	2	61	0.00125134	2.17445e-05	40.9	31
MS11676	1	4874787	1	60	0.00123082	1.23082e-05	41	25
MS11677	1	4874787	1	32	0.000656439	6.56439e-06	40.2	25
MS11678	1	4874787	4	126	0.00258473	3.20014e-05	41	31
MS11679	1	4874787	1	57	0.00116928	1.16928e-05	41	37
MS11683	1	4874787	0	0	0	0	0	0
MS11684	1	4874787	0	0	0	0	0	0
MS11686	1	4874787	0	0	0	0	0	0
MS11770	1	4874787	0	0	0	0	0	0
MS11771	1	4874787	2	118	0.00242062	2.42062e-05	38.9	30
MS11774	1	4874787	3	80	0.0016411	2.42062e-05	41	29
MS11775	1	4874787	3	91	0.00186675	2.66678e-05	40.9	29
