Shewanella_baltica	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	5288069	424	11790	0.222955	0.00284906	40.9	27.3
MS11670	1	5288069	1544	63952	1.20936	0.012348	40.7	31.9
MS11673	1	5288069	204	6058	0.11456	0.00139862	40.9	28.2
MS11674	1	5288069	2288	85115	1.60957	0.0166545	40.9	31
MS11675	1	5288069	41324	1183961	22.3893	0.344099	40.5	32
MS11676	1	5288069	1896	72166	1.36469	0.0142075	40.8	30.6
MS11677	1	5288069	334	10042	0.189899	0.00231521	40.9	27.3
MS11678	1	5288069	388	15346	0.2902	0.00300639	40.6	30.7
MS11679	1	5288069	178	5700	0.10779	0.00121859	40.8	27.2
MS11683	1	5288069	217	7229	0.136704	0.00152929	40.8	27.8
MS11684	1	5288069	152	5364	0.101436	0.0011108	40.6	29.5
MS11686	1	5288069	137	4749	0.0898059	0.000959518	40.8	27.9
MS11770	1	5288069	123	3471	0.0656383	0.000835844	40.9	26.8
MS11771	1	5288069	56029	1806013	34.1526	0.450076	40.7	34.5
MS11774	1	5288069	2912	120690	2.28231	0.0236402	40.5	32.9
MS11775	1	5288069	24445	667596	12.6246	0.191928	40.6	30.6
