Shewanella_putrefaciens_str_ATCC8071	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4386330	242	7128	0.162505	0.00199027	40.9	26.3
MS11670	1	4386330	1138	48138	1.09746	0.0112408	40.7	33
MS11673	1	4386330	114	3514	0.0801125	0.000938826	40.9	26.7
MS11674	1	4386330	525	19050	0.434304	0.00448416	40.9	27.7
MS11675	1	4386330	6485	195558	4.45835	0.0613061	40.7	27.5
MS11676	1	4386330	486	17307	0.394567	0.00421879	40.9	27.8
MS11677	1	4386330	226	6535	0.148986	0.00181974	41	26.7
MS11678	1	4386330	152	4580	0.104415	0.00126233	40.8	27
MS11679	1	4386330	104	3342	0.0761913	0.000854929	40.9	26.4
MS11683	1	4386330	145	4285	0.0976899	0.00116339	40.9	26.5
MS11684	1	4386330	74	2324	0.0529828	0.000597538	41	27.6
MS11686	1	4386330	98	2908	0.0662969	0.000774907	41	26.4
MS11770	1	4386330	105	3008	0.0685767	0.000836006	40.9	26.4
MS11771	1	4386330	2333	84475	1.92587	0.0212779	40.8	28.1
MS11774	1	4386330	437	16237	0.370173	0.00391945	40.8	27.8
MS11775	1	4386330	5729	168158	3.83368	0.0512935	40.8	27.6
