Shigella_boydii	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4412414	59	2025	0.0458932	0.000510831	40.7	26.5
MS11670	1	4412414	329	15010	0.340177	0.00349605	40.6	29.8
MS11673	1	4412414	51	1896	0.0429697	0.000463465	40.9	29.1
MS11674	1	4412414	4255	99124	2.24648	0.0405121	40.8	29.4
MS11675	1	4412414	4018	131236	2.97424	0.0420269	40.4	29.2
MS11676	1	4412414	3301	97911	2.21899	0.0320181	40.8	29
MS11677	1	4412414	111	4222	0.0956846	0.00099832	40.8	28.2
MS11678	1	4412414	354	13823	0.313275	0.00344392	40.7	29.2
MS11679	1	4412414	1739	69733	1.58038	0.0192788	40.1	28.2
MS11683	1	4412414	828	33792	0.765839	0.00845229	40.5	28.1
MS11684	1	4412414	12184	291837	6.614	0.127966	40.3	29.2
MS11686	1	4412414	746	32428	0.734927	0.00791743	40.3	28.3
MS11770	1	4412414	1103	40324	0.913876	0.0109659	40.6	27.7
MS11771	1	4412414	31215	427213	9.68207	0.35993	39.9	29.7
MS11774	1	4412414	1424	56890	1.28932	0.0145057	40.5	28.1
MS11775	1	4412414	427	17216	0.390172	0.00422241	40.5	26.6
