Shigella_dysenteriae	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	5075418	191	6504	0.128147	0.00145899	40.8	26.7
MS11670	1	5075418	726	30052	0.592109	0.00620205	40.7	29.1
MS11673	1	5075418	223	8640	0.170232	0.00178961	40.8	29.6
MS11674	1	5075418	13041	313504	6.17691	0.107567	40.7	30.3
MS11675	1	5075418	8216	281934	5.55489	0.0736863	40.4	29.8
MS11676	1	5075418	7355	206108	4.06091	0.0612101	40.8	30.1
MS11677	1	5075418	301	11523	0.227035	0.00233991	40.9	29.1
MS11678	1	5075418	1012	38924	0.766912	0.00854866	40.7	30
MS11679	1	5075418	3377	126094	2.48441	0.0320685	40.2	30.7
MS11683	1	5075418	1936	65296	1.28651	0.0168189	40.5	30.9
MS11684	1	5075418	22688	617470	12.1659	0.204089	40.4	30.2
MS11686	1	5075418	1699	68326	1.34621	0.0149982	40.4	29.5
MS11770	1	5075418	4147	147132	2.89891	0.0355033	40.6	29.8
MS11771	1	5075418	47106	844809	16.6451	0.459465	40	30.2
MS11774	1	5075418	9075	281877	5.55377	0.081161	40.4	31.8
MS11775	1	5075418	1956	76759	1.51237	0.0167708	40.5	28.9
