Shigella_flexneri	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4969852	121	4222	0.0849522	0.000940269	40.7	28
MS11670	1	4969852	880	38235	0.769339	0.00793022	40.7	29.4
MS11673	1	4969852	116	3903	0.0785335	0.00089721	40.9	28.8
MS11674	1	4969852	7234	173507	3.49119	0.0606475	40.7	28.9
MS11675	1	4969852	14632	432187	8.69617	0.138642	40.3	29.6
MS11676	1	4969852	8661	236475	4.75819	0.0735845	40.8	30.1
MS11677	1	4969852	284	11016	0.221657	0.00229765	40.8	30.1
MS11678	1	4969852	848	35456	0.713422	0.00744912	40.6	29.7
MS11679	1	4969852	6166	238552	4.79998	0.0606696	40.1	29.4
MS11683	1	4969852	3305	128509	2.58577	0.0300665	40.5	29.5
MS11684	1	4969852	38700	765626	15.4054	0.361194	40.4	29.8
MS11686	1	4969852	1595	66954	1.3472	0.0148018	40.3	28.5
MS11770	1	4969852	2432	87518	1.76098	0.0212992	40.7	28.5
MS11771	1	4969852	94840	1077442	21.6796	0.976783	39.9	29.5
MS11774	1	4969852	3450	121579	2.44633	0.0313683	40.4	29.1
MS11775	1	4969852	941	38427	0.773202	0.00852299	40.3	27.6
