Staphylococcus_equorum_str_FDAARGOS_1068	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2739245	5344	222532	8.12384	0.0862723	40.5	36.4
MS11670	1	2739245	999	47241	1.7246	0.0178469	40.1	35.9
MS11673	1	2739245	515	23835	0.87013	0.00887653	40.2	35.5
MS11674	1	2739245	16300	624622	22.8027	0.263808	40.5	36.8
MS11675	1	2739245	1457	35134	1.28262	0.0214811	40.6	29.1
MS11676	1	2739245	20978	788510	28.7857	0.34593	40.4	36.7
MS11677	1	2739245	2945	134965	4.92709	0.0507888	40.2	36.3
MS11678	1	2739245	15227	615253	22.4607	0.260209	40.3	36.7
MS11679	1	2739245	300	11902	0.434499	0.00457316	40.7	33.4
MS11683	1	2739245	120	4151	0.151538	0.00169937	40.6	28.4
MS11684	1	2739245	1886	85112	3.10713	0.0318971	40.3	35.9
MS11686	1	2739245	395	13921	0.508206	0.00566287	40.7	31.1
MS11770	1	2739245	1086	49370	1.80232	0.0186135	40.1	35.7
MS11771	1	2739245	2844	117274	4.28125	0.0464876	40.4	35.5
MS11774	1	2739245	407	16152	0.589652	0.00637548	40.4	32.9
MS11775	1	2739245	9068	378255	13.8087	0.154176	40.2	36.2
