Streptococcus_canis_str_NCTC12191	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2084744	50	1574	0.0755009	0.000836554	40.9	26.3
MS11670	1	2084744	84	3063	0.146925	0.00161363	40.7	27.4
MS11673	1	2084744	25	868	0.0416358	0.000416358	41	24.7
MS11674	1	2084744	262	10016	0.480443	0.0051426	40.8	31.8
MS11675	1	2084744	452	16546	0.793671	0.00891141	40.6	29.2
MS11676	1	2084744	144	4382	0.210194	0.00258161	40.9	29
MS11677	1	2084744	73	2563	0.122941	0.00133494	40.9	26.9
MS11678	1	2084744	242	7535	0.361435	0.00464326	40.8	30.5
MS11679	1	2084744	76	2529	0.12131	0.00141072	40.7	27.5
MS11683	1	2084744	99	3086	0.148028	0.00179351	40.9	27.9
MS11684	1	2084744	49	1708	0.0819285	0.000908505	40.4	27.4
MS11686	1	2084744	207	7037	0.337547	0.00385707	40.8	28.4
MS11770	1	2084744	105	3678	0.176425	0.00212784	40.4	29.9
MS11771	1	2084744	226	8917	0.427726	0.00453053	40.4	32.1
MS11774	1	2084744	420	18071	0.866821	0.00887207	40.4	34.8
MS11775	1	2084744	474	11364	0.545103	0.00841878	40.8	26.8
