Streptococcus_iniae_str_YSFST01-82	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2086959	75	2169	0.103931	0.00124871	40.9	27.4
MS11670	1	2086959	93	3272	0.156783	0.001725	40.7	27.4
MS11673	1	2086959	18	578	0.0276958	0.000313375	40.9	25.2
MS11674	1	2086959	107	3760	0.180166	0.00188216	40.9	27
MS11675	1	2086959	360	9215	0.441552	0.0064031	40.9	26.3
MS11676	1	2086959	157	4371	0.209444	0.00265746	41	27.2
MS11677	1	2086959	65	2173	0.104123	0.00118833	40.8	27.7
MS11678	1	2086959	153	4440	0.21275	0.00260139	41	27.2
MS11679	1	2086959	68	2172	0.104075	0.00119169	41	26.4
MS11683	1	2086959	87	2686	0.128704	0.00149931	40.9	27.1
MS11684	1	2086959	62	2032	0.0973666	0.00103787	40.9	27.3
MS11686	1	2086959	229	6634	0.317879	0.00414335	40.9	27.2
MS11770	1	2086959	71	1906	0.0913291	0.00128273	40.6	26.7
MS11771	1	2086959	130	4264	0.204316	0.00232396	40.8	26.2
MS11774	1	2086959	78	2528	0.121133	0.00131148	40.9	26.7
MS11775	1	2086959	519	11656	0.558516	0.00906486	40.9	26.5
