Streptococcus_salivarius_str_NCTC8618	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2206150	64	2105	0.0954151	0.00104707	40.9	27.1
MS11670	1	2206150	241	10137	0.459488	0.00474356	40.6	31.2
MS11673	1	2206150	34	1230	0.0557532	0.000606486	40.7	27.9
MS11674	1	2206150	206	7628	0.345761	0.00379077	40.8	29.8
MS11675	1	2206150	1036	41058	1.86107	0.020422	40.5	31.3
MS11676	1	2206150	184	6618	0.29998	0.00313125	40.9	30.8
MS11677	1	2206150	131	5255	0.238198	0.00250844	40.5	29.7
MS11678	1	2206150	280	9453	0.428484	0.00507536	40.9	31
MS11679	1	2206150	533	23330	1.0575	0.0109136	40.4	32.2
MS11683	1	2206150	672	28056	1.27172	0.0130413	40.5	32.5
MS11684	1	2206150	132	5473	0.248079	0.00253247	40.4	30.8
MS11686	1	2206150	6414	254645	11.5425	0.130777	40.5	33.1
MS11770	1	2206150	220	9505	0.430841	0.00438003	40.5	32.7
MS11771	1	2206150	4290	154594	7.00741	0.0881273	40.4	33.4
MS11774	1	2206150	1161	47235	2.14106	0.0222832	40.6	33.2
MS11775	1	2206150	18099	600972	27.2408	0.375782	40.3	33.8
