Streptococcus_suis	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2146229	85	2276	0.106046	0.00138149	41	27.1
MS11670	1	2146229	99	3626	0.168947	0.00187631	40.7	28.6
MS11673	1	2146229	41	1432	0.0667217	0.000722663	40.9	28.7
MS11674	1	2146229	1048	36403	1.69614	0.0207895	40.6	33.6
MS11675	1	2146229	569	18777	0.874883	0.0108516	40.6	30.4
MS11676	1	2146229	188	6257	0.291535	0.00333469	40.9	30.2
MS11677	1	2146229	123	4859	0.226397	0.00234318	40.6	29.7
MS11678	1	2146229	225	7669	0.357324	0.004192	40.8	29.8
MS11679	1	2146229	1119	55135	2.56892	0.0262418	39.9	34.6
MS11683	1	2146229	1698	77458	3.60903	0.0374336	40	34.4
MS11684	1	2146229	237	9931	0.462719	0.00475765	40.6	32.2
MS11686	1	2146229	1770	76290	3.55461	0.0373408	40.4	33.6
MS11770	1	2146229	162	7464	0.347773	0.0034959	40.3	32.2
MS11771	1	2146229	1237	54922	2.559	0.0266332	40.3	34.1
MS11774	1	2146229	482	19605	0.913463	0.00976597	40.5	31.6
MS11775	1	2146229	1419	54836	2.55499	0.0290733	40.4	32.1
