Trueperella_pyogenes_str_2012CQ-ZSH	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2295822	1070	21680	0.944324	0.0166942	40.9	27.1
MS11670	1	2295822	475	11537	0.502522	0.00747662	40.9	26.9
MS11673	1	2295822	629	11888	0.51781	0.00982263	41	26.8
MS11674	1	2295822	203	5639	0.24562	0.00315051	41	27.4
MS11675	1	2295822	1632	30885	1.34527	0.0261174	40.9	27.6
MS11676	1	2295822	482	12984	0.565549	0.00749623	40.9	27.2
MS11677	1	2295822	689	16227	0.706806	0.010736	40.9	27.3
MS11678	1	2295822	865	17378	0.75694	0.0136592	40.9	27.1
MS11679	1	2295822	1565	30639	1.33455	0.0249976	40.9	27.6
MS11683	1	2295822	1885	32798	1.4286	0.0299026	40.9	27.6
MS11684	1	2295822	647	14727	0.64147	0.0101515	40.9	27.6
MS11686	1	2295822	624	15101	0.65776	0.00984832	40.9	27.5
MS11770	1	2295822	610	14186	0.617905	0.00961224	40.9	27.3
MS11771	1	2295822	701	16895	0.735902	0.0111132	40.9	27.4
MS11774	1	2295822	1483	20764	0.904426	0.0234286	40.9	27.3
MS11775	1	2295822	905	21095	0.918843	0.0141183	40.9	27.2
