Brochothrix_thermosphacta	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2564037	261	6448	0.251478	0.00364971	41	28.5
MS11670	1	2564037	124	2792	0.108891	0.00182447	40.9	28.3
MS11673	1	2564037	91	2186	0.0852562	0.00142159	40.6	30.9
MS11674	1	2564037	498	17134	0.668243	0.00744529	40.8	31.6
MS11675	1	2564037	1751	36790	1.43485	0.0259154	40.8	28.6
MS11676	1	2564037	667	21349	0.832632	0.0101859	40.7	30.8
MS11677	1	2564037	192	5229	0.203936	0.00265363	41	26.9
MS11678	1	2564037	4637	205956	8.03249	0.0851302	40.2	36
MS11679	1	2564037	135	3315	0.129288	0.00191768	40.9	27.1
MS11683	1	2564037	180	4257	0.166027	0.00247851	40.9	27.9
MS11684	1	2564037	194	5882	0.229404	0.00277843	40.9	27.6
MS11686	1	2564037	240	5898	0.230028	0.00337944	40.9	28
MS11770	1	2564037	146	3423	0.1335	0.00213686	40.9	27.7
MS11771	1	2564037	969	25883	1.00946	0.0148473	40.8	29.8
MS11774	1	2564037	263	7350	0.286657	0.0037792	40.8	28.2
MS11775	1	2564037	1595	49762	1.94077	0.0253343	40.5	31.7
