Carnobacterium_maltaromaticum	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3650416	359	10433	0.285803	0.0036804	40.8	29.3
MS11670	1	3650416	200	6022	0.164967	0.00214222	40.8	30.2
MS11673	1	3650416	345	13544	0.371026	0.00408803	40.6	34.3
MS11674	1	3650416	606	19040	0.521584	0.00627079	40.8	29.6
MS11675	1	3650416	9618	386167	10.5787	0.122449	40.3	34.8
MS11676	1	3650416	708	18993	0.520297	0.0072515	40.8	29.5
MS11677	1	3650416	190	5526	0.15138	0.00185321	40.9	28.4
MS11678	1	3650416	1859	75560	2.0699	0.0220282	40.5	34.7
MS11679	1	3650416	202	5941	0.162749	0.00203895	40.9	27.4
MS11683	1	3650416	230	7107	0.19469	0.00234302	40.8	28.1
MS11684	1	3650416	424	12944	0.35459	0.0043354	40.8	29
MS11686	1	3650416	390	9741	0.266846	0.00389791	40.8	28
MS11770	1	3650416	241	6148	0.168419	0.00240685	40.9	29.1
MS11771	1	3650416	2550	102694	2.81321	0.0314487	40.3	33.8
MS11774	1	3650416	467	14911	0.408474	0.00494766	40.6	30.2
MS11775	1	3650416	33812	1178787	32.2919	0.421145	40.4	36.2
