Chryseobacterium_balustinum	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4709021	978	23657	0.502376	0.00740218	40.9	28.5
MS11670	1	4709021	396	12571	0.266956	0.00319812	40.8	29.3
MS11673	1	4709021	177	4741	0.100679	0.00138606	40.9	28.6
MS11674	1	4709021	206	6958	0.147759	0.0016101	40.9	28.8
MS11675	1	4709021	3000	101752	2.16079	0.0259315	40.6	30.7
MS11676	1	4709021	1071	31148	0.661454	0.00833039	40.9	29.7
MS11677	1	4709021	578	15432	0.327711	0.00445422	40.9	28.5
MS11678	1	4709021	689	21749	0.461858	0.00551792	40.9	29.6
MS11679	1	4709021	420	12190	0.258865	0.00334125	40.8	28.7
MS11683	1	4709021	462	12975	0.275535	0.00363961	40.9	28.8
MS11684	1	4709021	602	21695	0.460711	0.00506814	40.7	31.1
MS11686	1	4709021	462	14062	0.298618	0.00363366	40.8	29.1
MS11770	1	4709021	1043	40744	0.865233	0.00927305	40.7	33.1
MS11771	1	4709021	22483	859881	18.2603	0.220441	40.4	34.9
MS11774	1	4709021	663	19262	0.409045	0.00539496	40.8	29.7
MS11775	1	4709021	3328	81079	1.72178	0.0261581	40.9	28.8
