Corynebacterium_stationis	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2871159	1298	33622	1.17103	0.0170506	40.8	30.3
MS11670	1	2871159	449	13085	0.455739	0.0059941	40.7	29.8
MS11673	1	2871159	1301	47853	1.66668	0.0192163	40.5	32.6
MS11674	1	2871159	534	20245	0.705116	0.00749558	40.6	32.7
MS11675	1	2871159	1440	25673	0.894169	0.0182449	40.9	28.6
MS11676	1	2871159	956	31715	1.10461	0.0129794	40.8	31.1
MS11677	1	2871159	577	14301	0.498092	0.00735173	40.8	29
MS11678	1	2871159	715	16043	0.558764	0.00911897	40.9	28.2
MS11679	1	2871159	1103	20356	0.708982	0.013893	40.9	28.1
MS11683	1	2871159	1383	22170	0.772162	0.0172167	40.9	28
MS11684	1	2871159	558	12022	0.418716	0.00695155	40.9	27.8
MS11686	1	2871159	492	11883	0.413875	0.00634657	40.8	28.7
MS11770	1	2871159	525	12709	0.442644	0.00663216	40.8	29.2
MS11771	1	2871159	731	16527	0.575621	0.00920186	40.9	28.3
MS11774	1	2871159	1044	16860	0.587219	0.0132215	40.9	28.1
MS11775	1	2871159	1119	20542	0.71546	0.0141981	40.9	28.5
