Jeotgalicoccus_sp_WY2	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2433118	374	11240	0.461959	0.00591052	40.8	29.2
MS11670	1	2433118	853	35563	1.46162	0.0155426	40.5	32.4
MS11673	1	2433118	1402	58570	2.4072	0.0255553	40.5	32.6
MS11674	1	2433118	1361	51298	2.10832	0.0217429	40.8	32.6
MS11675	1	2433118	1106	19547	0.803372	0.0175766	40.8	28.7
MS11676	1	2433118	7744	283696	11.6598	0.135674	40.7	33
MS11677	1	2433118	285	9891	0.406515	0.00466891	40.8	30.5
MS11678	1	2433118	4025	163443	6.71743	0.0737909	40.5	33
MS11679	1	2433118	134	3215	0.132135	0.00197771	40.9	27.9
MS11683	1	2433118	180	3829	0.15737	0.00265297	41	27.3
MS11684	1	2433118	169	4359	0.179153	0.00257735	40.9	27.7
MS11686	1	2433118	228	4615	0.189674	0.00343551	40.9	28.6
MS11770	1	2433118	147	3937	0.161809	0.00222472	40.8	28.6
MS11771	1	2433118	632	18188	0.747518	0.0103308	40.7	30.4
MS11774	1	2433118	258	5992	0.246268	0.00394103	40.9	27.6
MS11775	1	2433118	732	19228	0.790262	0.0117713	40.7	29.4
