Lactococcus_cremoris	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2427048	121	3332	0.137286	0.00181702	40.9	26.9
MS11670	1	2427048	93	3205	0.132053	0.00141901	40.9	28.6
MS11673	1	2427048	50	1600	0.0659237	0.000732577	41	28.1
MS11674	1	2427048	3085	57827	2.38261	0.0494205	40.8	30.6
MS11675	1	2427048	1424	38652	1.59255	0.0229831	40.8	29.6
MS11676	1	2427048	323	9959	0.410334	0.00487465	40.9	30
MS11677	1	2427048	111	3552	0.146351	0.00165757	40.9	27.3
MS11678	1	2427048	452	17370	0.715684	0.00767682	40.7	32.6
MS11679	1	2427048	164	5946	0.244989	0.0026456	40.7	30.8
MS11683	1	2427048	159	5035	0.207454	0.00244618	40.7	28.8
MS11684	1	2427048	225	7411	0.30535	0.00345152	40.8	28.6
MS11686	1	2427048	299	8653	0.356524	0.00455615	40.9	28.3
MS11770	1	2427048	132	4200	0.17305	0.00204075	40.8	30.1
MS11771	1	2427048	1570	40420	1.6654	0.0258454	40.8	30.2
MS11774	1	2427048	207	6278	0.258668	0.00304114	40.9	28.6
MS11775	1	2427048	743	16480	0.679014	0.0110731	40.9	28
