Photobacterium_toruni_2	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	1158657	84	3061	0.264185	0.00273075	40.8	29.5
MS11670	1	1158657	23	697	0.0601559	0.000682687	41	30.2
MS11673	1	1158657	9	276	0.0238207	0.00026151	40.8	26.9
MS11674	1	1158657	40	1273	0.109869	0.00126353	40.9	30.3
MS11675	1	1158657	110	3929	0.339099	0.00357397	40.8	30
MS11676	1	1158657	133	4919	0.424543	0.00432742	40.9	31.7
MS11677	1	1158657	17	508	0.0438439	0.000526472	40.9	27.7
MS11678	1	1158657	44	1742	0.150346	0.00156388	40.9	33.1
MS11679	1	1158657	42	1376	0.118758	0.00135502	40.9	30
MS11683	1	1158657	21	813	0.0701674	0.000701674	40.4	29.9
MS11684	1	1158657	21	730	0.063004	0.000650753	40.9	28.4
MS11686	1	1158657	29	1096	0.0945923	0.000945923	40.6	30.7
MS11770	1	1158657	78	3156	0.272384	0.00280238	40.7	33.9
MS11771	1	1158657	453	18150	1.56647	0.0161937	40.6	34.9
MS11774	1	1158657	1077	42073	3.63119	0.0384091	40.5	34.7
MS11775	1	1158657	1105	41794	3.60711	0.0378939	40.7	34.7
