Photobacterium_toruni	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3009243	567	18591	0.617797	0.00699644	40.9	30.2
MS11669_2	1	1158657	84	3061	0.264185	0.00273075	40.8	29.5
MS11670	1	3009243	214	5769	0.191709	0.00256443	40.9	28.1
MS11670_2	1	1158657	23	697	0.0601559	0.000682687	41	30.2
MS11673	1	3009243	107	2741	0.091086	0.00125247	40.9	27.4
MS11673_2	1	1158657	9	276	0.0238207	0.00026151	40.8	26.9
MS11674	1	3009243	387	11861	0.394152	0.00465399	40.9	29.3
MS11674_2	1	1158657	40	1273	0.109869	0.00126353	40.9	30.3
MS11675	1	3009243	1097	31893	1.05983	0.0135994	40.9	29.4
MS11675_2	1	1158657	110	3929	0.339099	0.00357397	40.8	30
MS11676	1	3009243	947	31212	1.0372	0.0119322	40.9	31
MS11676_2	1	1158657	133	4919	0.424543	0.00432742	40.9	31.7
MS11677	1	3009243	301	7734	0.257008	0.00358396	40.9	27.3
MS11677_2	1	1158657	17	508	0.0438439	0.000526472	40.9	27.7
MS11678	1	3009243	378	11975	0.397941	0.00489425	40.8	30.1
MS11678_2	1	1158657	44	1742	0.150346	0.00156388	40.9	33.1
MS11679	1	3009243	440	13279	0.441274	0.00547978	40.8	29.4
MS11679_2	1	1158657	42	1376	0.118758	0.00135502	40.9	30
MS11683	1	3009243	423	12735	0.423196	0.00517904	40.9	28.7
MS11683_2	1	1158657	21	813	0.0701674	0.000701674	40.4	29.9
MS11684	1	3009243	566	13538	0.449881	0.006816	40.9	28.7
MS11684_2	1	1158657	21	730	0.063004	0.000650753	40.9	28.4
MS11686	1	3009243	469	15196	0.504977	0.00607794	40.8	29.5
MS11686_2	1	1158657	29	1096	0.0945923	0.000945923	40.6	30.7
MS11770	1	3009243	425	14735	0.489658	0.00573998	40.6	31.5
MS11770_2	1	1158657	78	3156	0.272384	0.00280238	40.7	33.9
MS11771	1	3009243	2539	86965	2.88993	0.0339428	40.6	33.1
MS11771_2	1	1158657	453	18150	1.56647	0.0161937	40.6	34.9
MS11774	1	3009243	4814	180768	6.00709	0.0655966	40.6	34
MS11774_2	1	1158657	1077	42073	3.63119	0.0384091	40.5	34.7
MS11775	1	3009243	4975	170797	5.67575	0.064378	40.7	33.5
MS11775_2	1	1158657	1105	41794	3.60711	0.0378939	40.7	34.7
