Pseudomonas_bubulae	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	5144743	3545	87248	1.69587	0.0252938	40.9	26.3
MS11670	1	5144743	2363	79826	1.5516	0.0179432	40.9	26.6
MS11673	1	5144743	1451	32648	0.63459	0.0101933	40.9	26.4
MS11674	1	5144743	692	23223	0.451393	0.0050366	40.8	28.4
MS11675	1	5144743	147033	3423679	66.5471	1.30168	40.3	33.8
MS11676	1	5144743	2760	96832	1.88215	0.0209791	40.8	29.3
MS11677	1	5144743	2287	70478	1.3699	0.0166199	40.9	27.3
MS11678	1	5144743	5794	215048	4.17996	0.0471141	40.6	30.9
MS11679	1	5144743	3120	62825	1.22115	0.0238416	40.7	27.7
MS11683	1	5144743	2534	49715	0.966326	0.0180036	40.9	27.1
MS11684	1	5144743	1395	39657	0.770826	0.0099488	40.9	26
MS11686	1	5144743	817	22232	0.43213	0.00570855	40.9	26
MS11770	1	5144743	2281	72456	1.40835	0.0171305	40.8	28.8
MS11771	1	5144743	16915	511726	9.94658	0.135707	40.7	27.3
MS11774	1	5144743	2696	71730	1.39424	0.0198463	40.8	26.5
MS11775	1	5144743	5791	190631	3.70536	0.0442716	40.7	29.2
