Pseudomonas_fragi	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	5072729	5658	150821	2.97317	0.0420521	40.9	28.1
MS11670	1	5072729	3273	109999	2.16844	0.0255768	40.8	27.8
MS11673	1	5072729	1946	42351	0.834876	0.0138241	40.9	27
MS11674	1	5072729	1180	41033	0.808894	0.00878758	40.8	29.7
MS11675	1	5072729	192160	3785857	74.6316	1.72482	40.3	33.8
MS11676	1	5072729	6721	248968	4.90797	0.0536871	40.8	31.7
MS11677	1	5072729	2887	89220	1.75882	0.0214522	40.9	27.6
MS11678	1	5072729	5526	188050	3.70708	0.0444615	40.7	29.4
MS11679	1	5072729	3561	82699	1.63027	0.0261792	40.9	26.4
MS11683	1	5072729	3379	65322	1.28771	0.0241986	40.9	26.3
MS11684	1	5072729	2115	58859	1.1603	0.0156444	40.9	27
MS11686	1	5072729	1216	31699	0.62489	0.00871365	40.9	26.4
MS11770	1	5072729	3622	112914	2.2259	0.027817	40.8	29.4
MS11771	1	5072729	31424	1008039	19.8717	0.267143	40.5	29.9
MS11774	1	5072729	3577	89300	1.76039	0.0267251	40.8	26.7
MS11775	1	5072729	6893	230530	4.5445	0.054624	40.6	29.5
