Pseudomonas_lundensis	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4895759	4816	105889	2.16287	0.035723	40.9	26.7
MS11670	1	4895759	2517	75034	1.53263	0.0193749	40.9	27
MS11673	1	4895759	1818	37012	0.756001	0.0132394	40.9	26.6
MS11674	1	4895759	885	28579	0.58375	0.00658284	40.9	28.2
MS11675	1	4895759	15315	456228	9.31884	0.12711	40.7	28.4
MS11676	1	4895759	4105	138959	2.83835	0.0320996	40.9	29.8
MS11677	1	4895759	2277	62151	1.26949	0.01697	40.9	27
MS11678	1	4895759	5485	178174	3.63935	0.0444528	40.8	29.6
MS11679	1	4895759	3598	83292	1.70131	0.0274303	40.9	26.8
MS11683	1	4895759	3483	69068	1.41077	0.0256694	40.9	26.7
MS11684	1	4895759	2142	58110	1.18695	0.0160625	40.9	26.9
MS11686	1	4895759	1297	33599	0.686288	0.00960975	40.9	26.6
MS11770	1	4895759	4417	142401	2.90866	0.0352781	40.8	29.5
MS11771	1	4895759	27442	797255	16.2846	0.232805	40.7	29.1
MS11774	1	4895759	3656	87555	1.78838	0.027762	40.9	26.8
MS11775	1	4895759	5478	155330	3.17275	0.0424884	40.8	28.1
