Psychrobacter_alimentarius	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3332539	236	6944	0.20837	0.00245308	40.9	26.4
MS11670	1	3332539	152	4901	0.147065	0.0016603	41	26.5
MS11673	1	3332539	112	3287	0.0986335	0.00116998	41	27
MS11674	1	3332539	491	17796	0.534007	0.00541989	40.9	28.9
MS11675	1	3332539	7121	200085	6.00398	0.0881547	40.7	28.9
MS11676	1	3332539	3541	135771	4.0741	0.0425573	40.8	32.9
MS11677	1	3332539	240	6827	0.204859	0.00256441	40.9	27.1
MS11678	1	3332539	3795	157633	4.73012	0.0491733	40.6	34.1
MS11679	1	3332539	108	3533	0.106015	0.00117748	40.9	27.2
MS11683	1	3332539	119	3532	0.105985	0.0012489	40.9	26.4
MS11684	1	3332539	194	6823	0.204739	0.00217222	40.9	30.4
MS11686	1	3332539	70	1986	0.0595942	0.000766983	40.8	26.8
MS11770	1	3332539	159	5271	0.158168	0.00174342	40.9	27.9
MS11771	1	3332539	1372	52815	1.58483	0.0171578	40.6	32.4
MS11774	1	3332539	432	15354	0.46073	0.00491757	40.8	29.1
MS11775	1	3332539	2323	74813	2.24492	0.0263415	40.8	28.4
