Psychrobacter_sp_CLB018	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3129232	539	18070	0.577458	0.00653643	40.8	29.9
MS11670	1	3129232	613	23564	0.753028	0.00798535	40.7	31.9
MS11673	1	3129232	391	14279	0.45631	0.00502839	40.8	31.7
MS11674	1	3129232	5880	215811	6.89661	0.0723395	40.9	33.8
MS11675	1	3129232	71923	1806129	57.718	1.0443	40.4	34.3
MS11676	1	3129232	36630	1137587	36.3536	0.48456	40.8	34
MS11677	1	3129232	484	16774	0.536042	0.00604877	40.8	30.7
MS11678	1	3129232	20170	732606	23.4117	0.279388	40.7	34.4
MS11679	1	3129232	536	21352	0.68234	0.00707522	40.7	32.3
MS11683	1	3129232	284	8723	0.278758	0.00342512	40.9	29.4
MS11684	1	3129232	219	7515	0.240155	0.00270098	40.7	29.7
MS11686	1	3129232	121	3755	0.119997	0.00136935	40.9	27.2
MS11770	1	3129232	343	13615	0.435091	0.0045369	40.6	31.8
MS11771	1	3129232	3096	110503	3.53131	0.0421011	40.6	33.5
MS11774	1	3129232	2152	87789	2.80545	0.029041	40.6	33.3
MS11775	1	3129232	12890	416872	13.3219	0.163609	40.8	31.4
